rb test      Unnamed: 0        date  waitroses_count
0             0  2015-11-04              663
1             1  2015-11-03              665
2             2  2014-11-26              698
3             3  2014-11-25              698
4             4  2014-07-24              698
5             5  2014-07-23              698
6             6  2014-07-22              699
7             7  2014-07-21              698
8             8  2014-07-20              697
9             9  2014-07-19              697
10           10  2014-07-18              697
11           11  2014-07-17              697
12           12  2014-07-16              697
13           13  2014-07-15              698
14           14  2014-07-14              699
15           15  2014-07-13              700
16           16  2014-07-12              700
17           17  2014-07-11              700
18           18  2014-07-10              700
19           19  2014-07-09              700
20           20  2014-07-08              698
21           21  2014-07-07              698
22           22  2014-07-06              698
23           23  2014-07-05              698
24           24  2014-07-04              698
25           25  2014-07-03              674
26           26  2014-07-02              674
27           27  2014-07-01              673
28           28  2014-06-30              673
29           29  2014-06-29              673
..          ...         ...              ...
71           71  2014-05-23              473
72           72  2014-05-22              473
73           73  2014-05-21              450
74           74  2014-05-20              472
75           75  2014-05-19              472
76           76  2014-05-18              472
77           77  2014-05-17              472
78           78  2014-05-16              472
79           79  2014-05-15              472
80           80  2014-05-14              471
81           81  2014-05-12              472
82           82  2014-05-11              473
83           83  2014-05-10              473
84           84  2014-05-09              604
85           85  2014-05-08              604
86           86  2014-05-07              602
87           87  2014-05-06              602
88           88  2014-05-02              602
89           89  2014-05-01              600
90           90  2014-04-30              600
91           91  2014-04-28              578
92           92  2014-04-27              568
93           93  2014-04-26              580
94           94  2014-04-25              580
95           95  2014-04-24              586
96           96  2014-04-23              605
97           97  2014-04-22              653
98           98  2014-04-17              653
99           99  2014-04-16              651
100         100  2014-04-15              651

[101 rows x 3 columns]
rb test      Unnamed: 0        date  waitroses_count
0             0  2015-11-04              663
1             1  2015-11-03              665
2             2  2014-11-26              698
3             3  2014-11-25              698
4             4  2014-07-24              698
5             5  2014-07-23              698
6             6  2014-07-22              699
7             7  2014-07-21              698
8             8  2014-07-20              697
9             9  2014-07-19              697
10           10  2014-07-18              697
11           11  2014-07-17              697
12           12  2014-07-16              697
13           13  2014-07-15              698
14           14  2014-07-14              699
15           15  2014-07-13              700
16           16  2014-07-12              700
17           17  2014-07-11              700
18           18  2014-07-10              700
19           19  2014-07-09              700
20           20  2014-07-08              698
21           21  2014-07-07              698
22           22  2014-07-06              698
23           23  2014-07-05              698
24           24  2014-07-04              698
25           25  2014-07-03              674
26           26  2014-07-02              674
27           27  2014-07-01              673
28           28  2014-06-30              673
29           29  2014-06-29              673
..          ...         ...              ...
71           71  2014-05-23              473
72           72  2014-05-22              473
73           73  2014-05-21              450
74           74  2014-05-20              472
75           75  2014-05-19              472
76           76  2014-05-18              472
77           77  2014-05-17              472
78           78  2014-05-16              472
79           79  2014-05-15              472
80           80  2014-05-14              471
81           81  2014-05-12              472
82           82  2014-05-11              473
83           83  2014-05-10              473
84           84  2014-05-09              604
85           85  2014-05-08              604
86           86  2014-05-07              602
87           87  2014-05-06              602
88           88  2014-05-02              602
89           89  2014-05-01              600
90           90  2014-04-30              600
91           91  2014-04-28              578
92           92  2014-04-27              568
93           93  2014-04-26              580
94           94  2014-04-25              580
95           95  2014-04-24              586
96           96  2014-04-23              605
97           97  2014-04-22              653
98           98  2014-04-17              653
99           99  2014-04-16              651
100         100  2014-04-15              651

[101 rows x 3 columns]
